@relation wind_data-weka.filters.unsupervised.attribute.Remove-R1

@attribute WIND {'Gentle Breeze','Light Breeze','Light Air','Moderate Breeze',Calm}
@attribute IND numeric
@attribute RAIN {Slight,Moderate,Heavy}
@attribute IND.1 numeric
@attribute T.MAX numeric
@attribute IND.2 numeric
@attribute T.MIN numeric
@attribute T.MIN.G numeric

@data
'Light Breeze',-0.333699,Slight,-0.310259,1.032131,-0.389995,0.920038,0.669567
'Gentle Breeze',-0.333699,Slight,-0.310259,1.310245,-0.389995,0.806969,0.742861
'Gentle Breeze',-0.333699,Slight,-0.310259,1.224672,-0.389995,1.394927,1.457479
'Gentle Breeze',-0.333699,Slight,-0.310259,1.310245,-0.389995,0.897424,0.926097
'Gentle Breeze',-0.333699,Slight,-0.310259,1.288852,-0.389995,1.507996,1.768979
'Moderate Breeze',-0.333699,Slight,1.488654,1.310245,-0.389995,1.417541,1.933891
'Light Breeze',-0.333699,Slight,-0.310259,1.417212,-0.389995,0.920038,0.816155
'Light Air',-0.333699,Slight,-0.310259,1.074918,-0.389995,-0.301107,-0.264933
'Light Breeze',-0.333699,Slight,-0.310259,1.759506,-0.389995,1.168789,0.981067
'Light Air',-0.333699,Slight,-0.310259,0.903771,-0.389995,1.05572,1.219273
'Light Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.53061,1.805626
'Light Air',-0.333699,Slight,-0.310259,1.566965,-0.389995,-0.504631,-0.466492
'Light Breeze',-0.333699,Slight,-0.310259,1.481392,-0.389995,1.553224,1.714009
'Light Breeze',-0.333699,Slight,-0.310259,0.711231,-0.389995,-0.165424,0.413038
'Light Breeze',-0.333699,Slight,-0.310259,0.454511,-0.389995,-0.414176,-0.411521
'Gentle Breeze',-0.333699,Slight,-0.310259,0.689838,-0.389995,1.304472,1.292567
'Light Breeze',-0.333699,Moderate,-0.310259,0.240577,-0.389995,0.377307,0.32142
'Light Breeze',-0.333699,Slight,-0.310259,0.219184,-0.389995,0.920038,1.329214
'Light Breeze',-0.333699,Slight,-0.310259,0.732624,-0.389995,0.354693,-0.100021
'Light Breeze',-0.333699,Slight,-0.310259,0.304757,-0.389995,0.467762,0.339744
'Light Breeze',-0.333699,Slight,-0.310259,0.561477,-0.389995,0.87481,0.88945
'Light Breeze',-0.333699,Slight,-0.310259,0.925165,-0.389995,0.897424,1.036038
'Light Air',-0.333699,Slight,-0.310259,0.454511,-0.389995,1.666293,1.439156
'Light Air',-0.333699,Slight,-0.310259,-0.144503,-0.389995,0.0381,0.431361
'Light Breeze',-0.333699,Slight,-0.310259,0.283364,-0.389995,0.535603,1.274244
